file_name,class_id,confidence,point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y
064442001.png,16,0.9847302,1137.9045,178.1458,1430.2437,178.1458,1430.2437,490.98026,1137.9045,490.98026
064442001.png,25,0.28403395,1135.0723,183.0533,1428.6227,183.0533,1428.6227,504.7847,1135.0723,504.7847
064507368.png,16,0.93956655,494.2577,123.674515,758.7334,123.674515,758.7334,425.22687,494.2577,425.22687
064507368.png,17,0.07390355,490.8339,127.36699,758.01135,127.36699,758.01135,428.08765,490.8339,428.08765
064507368.png,20,0.11214621,495.90097,126.77172,754.9046,126.77172,754.9046,419.46008,495.90097,419.46008
064507368.png,22,0.9996742,1053.3568,0.75229985,1252.9905,0.75229985,1252.9905,186.95447,1053.3568,186.95447
064507368.png,25,0.117078304,496.42166,130.37129,758.04987,130.37129,758.04987,431.9003,496.42166,431.9003
065131036.png,3,0.9968748,1107.0883,54.139122,1359.7156,54.139122,1359.7156,322.18195,1107.0883,322.18195
065131036.png,6,0.0664431,781.3121,274.53604,1161.0328,274.53604,1161.0328,583.58453,781.3121,583.58453
065131036.png,11,0.8539409,788.8233,254.08954,1167.2628,254.08954,1167.2628,692.67914,788.8233,692.67914
065131036.png,11,0.66495943,792.4588,253.45229,1160.2283,253.45229,1160.2283,636.0304,792.4588,636.0304
065131036.png,11,0.64307183,767.76044,260.27847,1152.4083,260.27847,1152.4083,659.8618,767.76044,659.8618
065131036.png,11,0.47606808,824.60736,243.45143,1157.7858,243.45143,1157.7858,670.4082,824.60736,670.4082
065131036.png,11,0.11895359,799.9062,281.06265,1168.2683,281.06265,1168.2683,842.5831,799.9062,842.5831
065131036.png,11,0.09283536,781.12305,240.0533,1146.3068,240.0533,1146.3068,733.8643,781.12305,733.8643
065131036.png,11,0.06391913,810.0162,249.38458,1166.7736,249.38458,1166.7736,741.6965,810.0162,741.6965
065131036.png,22,0.09917445,837.35626,381.1057,1165.2352,381.1057,1165.2352,888.81085,837.35626,888.81085
065131036.png,22,0.078272395,842.7701,2.2184336,963.33276,2.2184336,963.33276,36.15748,842.7701,36.15748
065131036.png,22,0.0646494,846.30664,434.54657,1166.6888,434.54657,1166.6888,851.09717,846.30664,851.09717
065131036.png,24,0.108773984,764.5235,261.7134,1146.2059,261.7134,1146.2059,666.2932,764.5235,666.2932
065131036.png,24,0.07806031,809.7236,305.1787,1164.9978,305.1787,1164.9978,881.4644,809.7236,881.4644
065131036.png,24,0.07737324,796.9077,386.46317,1153.8612,386.46317,1153.8612,816.1501,796.9077,816.1501
065131036.png,24,0.066873364,816.65436,253.80487,1162.0159,253.80487,1162.0159,654.38165,816.65436,654.38165
065131036.png,24,0.055080783,808.30927,374.7093,1152.5332,374.7093,1152.5332,871.5516,808.30927,871.5516
065131036.png,25,0.7808654,822.683,452.61713,1164.6722,452.61713,1164.6722,841.28125,822.683,841.28125
065131036.png,25,0.36356202,817.4584,385.33844,1168.2174,385.33844,1168.2174,859.4807,817.4584,859.4807
065131036.png,25,0.19752716,811.7427,311.58038,1166.3533,311.58038,1166.3533,856.55133,811.7427,856.55133
065131036.png,25,0.1446813,840.125,425.36853,1174.6907,425.36853,1174.6907,855.32294,840.125,855.32294
065131036.png,26,0.41335714,771.91626,262.8898,1155.6653,262.8898,1155.6653,630.9542,771.91626,630.9542
065131036.png,26,0.39149398,808.85596,247.51912,1165.5997,247.51912,1165.5997,627.6266,808.85596,627.6266
065131036.png,27,0.72091764,819.1361,401.2507,1165.4379,401.2507,1165.4379,857.0304,819.1361,857.0304
