file_name,class_id,confidence,point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y
064442001.png,16,0.996852,1137.955,179.74355,1431.5785,179.74355,1431.5785,495.79346,1137.955,495.79346
064507368.png,16,0.73001266,493.49997,127.465996,760.2161,127.465996,760.2161,426.2822,493.49997,426.2822
064507368.png,22,0.95868546,1051.7404,1.7416956,1251.0068,1.7416956,1251.0068,192.22726,1051.7404,192.22726
064507368.png,24,0.08261775,1051.7332,1.8652259,1250.68,1.8652259,1250.68,192.36803,1051.7332,192.36803
064507368.png,25,0.06412726,493.83057,127.020836,760.3158,127.020836,760.3158,426.3469,493.83057,426.3469
064507368.png,26,0.4810493,1051.8317,2.1957605,1250.8091,2.1957605,1250.8091,192.38661,1051.8317,192.38661
064507368.png,28,0.36990002,493.93405,127.00502,760.2864,127.00502,760.2864,426.32993,493.93405,426.32993
065131036.png,3,0.97792983,1110.2175,52.350735,1358.3103,52.350735,1358.3103,312.98608,1110.2175,312.98608
065131036.png,11,0.5571493,765.7745,258.24643,1183.6338,258.24643,1183.6338,875.3707,765.7745,875.3707
065131036.png,11,0.15861087,762.0122,267.66705,1187.0981,267.66705,1187.0981,757.4504,762.0122,757.4504
065131036.png,16,0.16142045,774.8065,277.31,1182.0321,277.31,1182.0321,863.4134,774.8065,863.4134
065131036.png,16,0.096636094,762.0122,267.66705,1187.0981,267.66705,1187.0981,757.4504,762.0122,757.4504
065131036.png,17,0.30185178,767.97284,261.60995,1182.7792,261.60995,1182.7792,866.79407,767.97284,866.79407
065131036.png,17,0.14832667,787.52594,319.38766,1179.9194,319.38766,1179.9194,860.4772,787.52594,860.4772
065131036.png,17,0.051917415,839.9549,436.82635,1171.5238,436.82635,1171.5238,861.85956,839.9549,861.85956
065131036.png,21,0.050151456,767.97284,261.60995,1182.7792,261.60995,1182.7792,866.79407,767.97284,866.79407
065131036.png,25,0.7530673,840.82996,439.50772,1170.6636,439.50772,1170.6636,862.2693,840.82996,862.2693
065131036.png,27,0.84961116,840.2103,438.31064,1171.056,438.31064,1171.056,861.9325,840.2103,861.9325
065131036.png,27,0.6056702,779.6491,291.03915,1180.3512,291.03915,1180.3512,861.6019,779.6491,861.6019
065131036.png,27,0.08374447,810.4749,376.65695,1176.6201,376.65695,1176.6201,859.8996,810.4749,859.8996
065147868.png,16,0.9935422,728.4804,190.13911,1011.8341,190.13911,1011.8341,498.0159,728.4804,498.0159
065203472.png,8,0.98823845,539.5275,762.26953,828.73627,762.26953,828.73627,1035.8446,539.5275,1035.8446
065203472.png,11,0.10230277,702.0406,196.89536,1096.8234,196.89536,1096.8234,647.1338,702.0406,647.1338
065203472.png,16,0.050656587,715.5211,225.17017,1095.4104,225.17017,1095.4104,645.60767,715.5211,645.60767
065203472.png,17,0.6450572,716.1823,228.54016,1094.908,228.54016,1094.908,645.5302,716.1823,645.5302
065203472.png,21,0.09947061,717.18774,233.73216,1094.7686,233.73216,1094.7686,645.1863,717.18774,645.1863
065203472.png,22,0.08624468,716.3456,229.50876,1095.4193,229.50876,1095.4193,645.1999,716.3456,645.1999
065203472.png,24,0.2812719,703.938,197.10489,1096.8889,197.10489,1096.8889,648.1777,703.938,648.1777
065203472.png,26,0.5295906,702.6586,194.12036,1097.3809,194.12036,1097.3809,648.8637,702.6586,648.8637
065203472.png,27,0.056729477,712.48706,211.32669,1095.725,211.32669,1095.725,647.5215,712.48706,647.5215
065223169.png,16,0.8064552,736.9845,162.27916,1017.73083,162.27916,1017.73083,463.58255,736.9845,463.58255
065223169.png,25,0.085669585,736.9798,162.2446,1017.78845,162.2446,1017.78845,463.51065,736.9798,463.51065
065223169.png,28,0.1610195,737.0469,162.46625,1017.6669,162.46625,1017.6669,463.3294,737.0469,463.3294
065330905.png,33,0.9863236,791.27905,483.58768,1059.9038,483.58768,1059.9038,769.4835,791.27905,769.4835
065331262.png,33,0.98517805,880.21173,695.76416,1167.367,695.76416,1167.367,1001.2054,880.21173,1001.2054
065425441.png,3,0.9341582,1080.4598,37.36524,1331.3394,37.36524,1331.3394,295.9467,1080.4598,295.9467
065425441.png,4,0.05937003,1080.4779,37.359745,1331.3622,37.359745,1331.3622,295.82574,1080.4779,295.82574
065714256.png,16,0.97452366,801.8061,292.09427,1093.4025,292.09427,1093.4025,608.73285,801.8061,608.73285
065750973.png,8,0.9984182,387.7555,325.89404,632.93536,325.89404,632.93536,564.5086,387.7555,564.5086
070016143.png,10,0.9945444,484.24252,709.7448,771.1669,709.7448,771.1669,986.02045,484.24252,986.02045
070203878.png,2,0.09567899,260.56848,1.232666,614.363,1.232666,614.363,325.37454,260.56848,325.37454
070203878.png,19,0.09950551,262.03104,1.2966834,613.76843,1.2966834,613.76843,325.34378,262.03104,325.34378
070203878.png,22,0.20438686,260.69858,1.7071216,613.3867,1.7071216,613.3867,324.57703,260.69858,324.57703
070203878.png,24,0.86736745,260.92725,0.46449098,614.0781,0.46449098,614.0781,325.46747,260.92725,325.46747
070203878.png,25,0.99708456,1349.2454,633.52136,1662.19,633.52136,1662.19,963.0054,1349.2454,963.0054
070203878.png,26,0.064656556,262.23068,2.0927968,614.1552,2.0927968,614.1552,325.62558,262.23068,325.62558
